web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data,title,data3,rating2,data4,data5,title2
1756053991-543,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.7,11% off,₹290,2273 Reviews,Free Delivery,₹259,Tee town Men's Trousers
1756053991-544,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,15% off,₹518,1168 Reviews,Free Delivery,₹441,Classy Fashionista Men Tracksuit
1756053991-545,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,60% off,₹799,1159 Reviews,Free Delivery,₹323,FTX Men's Tshirts
1756053991-546,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,10% off,₹205,115 Reviews,Free Delivery,₹185,Classy Gym Vests
1756053991-547,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,8% off,₹232,152 Reviews,Free Delivery,₹214,Comfy Men Boxers
1756053991-548,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,14% off,₹367,914 Reviews,Free Delivery,₹314,active tshirt
1756053991-549,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,10% off,₹194,50 Reviews,Free Delivery,₹175,Fancy Gym Vests
1756053991-550,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,730 Reviews,Free Delivery,₹546,Men's Trendy Cotton Solid Trousers Vol 14
1756053991-551,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,4973 Reviews,Free Delivery,₹532,Ravishing Fabulous Men Trousers
1756053991-552,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,14% off,₹250,,Free Delivery,₹216,Classy Gym Vests
1756053991-553,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4.1,9% off,₹490,44 Reviews,Free Delivery,₹447,Stylish Top & Bottom Fabric
1756053991-554,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,9% off,₹335,3522 Reviews,Free Delivery,₹304,"Efficient Men Dhotis, Mundus & Lungis"
1756053991-555,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,3% off,₹346,111 Reviews,Free Delivery,₹334,Comfy Gym Vests
1756053991-556,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,,,999 Reviews,Free Delivery,₹256,Classy Gym Vests
